2023 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Danvers,00710000,MATH,         646,42,          69,4,         577,37,         669,43,         231,15,"       1,546",99,     495,          45,"       1,210"
Danvers,00710000,SCI,         206,40,          23,4,         183,35,         233,45,          80,15,         519,98,     494,,
Dartmouth,00720000,ELA,         815,52,         138,9,         677,43,         610,39,         155,10,"       1,580",99,     500,          55,"       1,240"
Dartmouth,00720000,MATH,         821,52,          97,6,         724,46,         644,41,         119,8,"       1,584",100,     501,          52,"       1,243"
Dartmouth,00720000,SCI,         230,43,          25,5,         205,38,         253,47,          55,10,         538,100,     496,,
Dedham,00730000,ELA,         506,46,          78,7,         428,39,         435,39,         161,15,"       1,102",99,     496,          48,         827
Dedham,00730000,MATH,         524,47,          77,7,         447,40,         462,42,         121,11,"       1,107",99,     498,          53,         831
Dedham,00730000,SCI,         126,35,          16,4,         110,30,         178,49,          60,16,         364,98,     492,,
Deerfield,00740000,ELA,          87,44,           8,4,          79,40,          88,45,          21,11,         196,98,     496,          46,         133
Deerfield,00740000,MATH,          85,43,          12,6,          73,37,          89,45,          22,11,         196,98,     496,          51,         132
Deerfield,00740000,SCI,          24,46,           6,12,          18,35,          22,42,           6,12,          52,96,     499,,
Dennis-Yarmouth,06450000,ELA,         440,33,          52,4,         388,29,         591,44,         321,24,"       1,352",99,     489,          42,         998
Dennis-Yarmouth,06450000,MATH,         377,28,          33,2,         344,26,         668,50,         304,23,"       1,349",99,     488,          38,         985
Dennis-Yarmouth,06450000,SCI,         118,30,          11,3,         107,27,         170,43,         104,27,         392,97,     487,,
Dighton-Rehoboth,06500000,ELA,         510,42,          59,5,         451,37,         555,45,         155,13,"       1,220",99,     496,          47,         968
Dighton-Rehoboth,06500000,MATH,         517,43,          42,3,         475,39,         580,48,         119,10,"       1,216",99,     496,          52,         966
Dighton-Rehoboth,06500000,SCI,         189,47,          20,5,         169,42,         177,44,          35,9,         401,99,     498,,
Douglas,00770000,ELA,         235,41,          47,8,         188,33,         249,43,          89,16,         573,99,     495,          50,         444
Douglas,00770000,MATH,         204,36,          21,4,         183,32,         291,51,          76,13,         571,98,     493,          57,         442
Douglas,00770000,SCI,          53,30,           2,1,          51,29,          98,55,          27,15,         178,99,     489,,
Dover,00780000,ELA,         162,62,          29,11,         133,51,          87,33,          11,4,         260,99,     505,          45,         154
Dover,00780000,MATH,         186,72,          45,17,         141,54,          69,27,           5,2,         260,100,     512,          46,         155
Dover,00780000,SCI,          46,60,           6,8,          40,52,          23,30,           8,10,          77,100,     503,,
Dover-Sherborn,06550000,ELA,         336,72,          82,18,         254,55,         114,24,          16,3,         466,96,     512,          56,         439
Dover-Sherborn,06550000,MATH,         326,70,         100,21,         226,48,         126,27,          17,4,         469,97,     512,          46,         440
Dover-Sherborn,06550000,SCI,         102,69,          20,14,          82,55,          40,27,           6,4,         148,94,     510,,
Dracut,00790000,ELA,         701,39,          82,5,         619,35,         774,43,         315,18,"       1,790",99,     493,          48,"       1,380"
Dracut,00790000,MATH,         648,36,          74,4,         574,32,         847,47,         293,16,"       1,788",99,     492,          51,"       1,379"
Dracut,00790000,SCI,         223,38,          22,4,         201,34,         264,45,          98,17,         585,98,     493,,
Dudley Street Neighborhood Charter School (District),04070000,ELA,          28,24,           1,1,          27,23,          68,58,          21,18,         117,97,     486,          49,          76
Dudley Street Neighborhood Charter School (District),04070000,MATH,          20,17,           1,1,          19,16,          70,60,          27,23,         117,97,     483,          49,          76
Dudley Street Neighborhood Charter School (District),04070000,SCI,          12,32,           2,5,          10,26,          17,45,           9,24,          38,97,     490,,
Dudley-Charlton Reg,06580000,ELA,         706,41,          65,4,         641,38,         760,45,         236,14,"       1,702",100,     495,          48,"       1,348"
Dudley-Charlton Reg,06580000,MATH,         659,39,          61,4,         598,35,         783,46,         257,15,"       1,699",100,     493,          46,"       1,344"
Dudley-Charlton Reg,06580000,SCI,         230,39,          25,4,         205,35,         286,49,          73,12,         589,99,     495,,
Duxbury,00820000,ELA,         821,68,         155,13,         666,55,         316,26,          75,6,"       1,212",99,     507,          60,         972
Duxbury,00820000,MATH,         732,60,         120,10,         612,50,         429,35,          55,5,"       1,216",100,     504,          52,         979
Duxbury,00820000,SCI,         250,64,          33,8,         217,55,         128,33,          14,4,         392,99,     505,,
East Bridgewater,00830000,ELA,         441,46,          54,6,         387,40,         410,43,         110,11,         961,100,     497,          48,         769
East Bridgewater,00830000,MATH,         384,40,          40,4,         344,36,         480,50,          91,10,         955,99,     496,          45,         765
East Bridgewater,00830000,SCI,         135,42,          15,5,         120,38,         156,49,          28,9,         319,99,     498,,
East Longmeadow,00870000,ELA,         523,45,          71,6,         452,39,         482,42,         147,13,"       1,152",99,     497,          51,         920
East Longmeadow,00870000,MATH,         494,43,          56,5,         438,38,         527,46,         133,12,"       1,154",99,     496,          48,         924
East Longmeadow,00870000,SCI,         191,48,          23,6,         168,43,         154,39,          49,12,         394,100,     499,,
Eastham,00850000,ELA,          49,55,           8,9,          41,46,          33,37,           7,8,          89,100,     501,          50,          61
Eastham,00850000,MATH,          53,60,           6,7,          47,53,          30,34,           6,7,          89,100,     502,          48,          61
Eastham,00850000,SCI,          22,69,           4,13,          18,56,           8,25,           2,6,          32,100,     507,,
Easthampton,00860000,ELA,         248,37,          26,4,         222,33,         292,44,         131,20,         671,97,     491,          42,         529
Easthampton,00860000,MATH,         241,36,          28,4,         213,32,         321,47,         114,17,         676,98,     492,          48,         528
Easthampton,00860000,SCI,          89,40,           9,4,          80,36,          97,43,          37,17,         223,98,     492,,
Easton,00880000,ELA,         893,57,         133,8,         760,48,         531,34,         150,10,"       1,574",99,     502,          51,"       1,262"
Easton,00880000,MATH,         927,59,         152,10,         775,49,         536,34,         106,7,"       1,569",99,     504,          55,"       1,255"
Easton,00880000,SCI,         308,55,          46,8,         262,47,         214,38,          40,7,         562,99,     502,,
Edgartown,00890000,ELA,          91,33,           9,3,          82,29,         110,40,          77,28,         278,100,     487,          45,         199
Edgartown,00890000,MATH,          79,28,           7,3,          72,26,         125,45,          75,27,         279,100,     486,          47,         198
Edgartown,00890000,SCI,          39,41,          11,12,          28,29,          38,40,          18,19,          95,99,     496,,
Erving,00910000,ELA,          17,28,           0,0,          17,28,          31,52,          12,20,          60,100,     489,          54,          39
Erving,00910000,MATH,          15,26,           1,2,          14,24,          33,57,          10,17,          58,97,     489,          35,          38
Erving,00910000,SCI,           3,27,           0,0,           3,27,           7,64,           1,9,          11,85,     490,,
Everett,00930000,ELA,         657,22,          44,1,         613,20,"       1,291",43,"       1,082",36,"       3,030",99,     480,          48,"       2,124"
Everett,00930000,MATH,         607,20,          58,2,         549,18,"       1,474",49,         937,31,"       3,018",99,     482,          47,"       2,127"
Everett,00930000,SCI,         191,19,          23,2,         168,16,         477,47,         353,35,"       1,021",99,     480,,
Excel Academy Charter (District),04100000,ELA,         313,45,          60,9,         253,37,         271,39,         105,15,         689,100,     496,          58,         658
Excel Academy Charter (District),04100000,MATH,         260,38,          26,4,         234,34,         299,43,         131,19,         690,100,     492,          59,         661
Excel Academy Charter (District),04100000,SCI,         117,34,          11,3,         106,31,         161,47,          64,19,         342,100,     490,,
Fairhaven,00940000,ELA,         362,44,          39,5,         323,39,         352,43,         108,13,         822,99,     495,          43,         655
Fairhaven,00940000,MATH,         413,50,          47,6,         366,45,         329,40,          76,9,         818,99,     499,          50,         649
Fairhaven,00940000,SCI,         124,43,          14,5,         110,38,         114,40,          48,17,         286,99,     496,,
Fall River,00950000,ELA,"       1,057",22,         113,2,         944,20,"       1,997",41,"       1,765",37,"       4,819",99,     480,          46,"       3,395"
Fall River,00950000,MATH,         942,19,          74,2,         868,18,"       2,120",44,"       1,782",37,"       4,844",99,     480,          43,"       3,375"
Fall River,00950000,SCI,         283,18,          21,1,         262,16,         722,45,         597,37,"       1,602",99,     479,,
Falmouth,00960000,ELA,         656,47,         121,9,         535,38,         546,39,         207,15,"       1,409",99,     497,          49,"       1,092"
Falmouth,00960000,MATH,         689,49,         117,8,         572,40,         557,39,         171,12,"       1,417",99,     498,          48,"       1,100"
Falmouth,00960000,SCI,         222,45,          43,9,         179,36,         194,39,          78,16,         494,98,     496,,
Farmington River Reg,06620000,ELA,          24,41,           6,10,          18,31,          29,50,           5,9,          58,100,     498,          51,          39
Farmington River Reg,06620000,MATH,          30,53,           3,5,          27,47,          24,42,           3,5,          57,100,     503,          54,          39
Farmington River Reg,06620000,SCI,           8,53,           1,7,           7,47,           6,40,           1,7,          15,100,     502,,
Fitchburg,00970000,ELA,         719,30,          96,4,         623,26,         979,40,         738,30,"       2,436",99,     486,          51,"       1,805"
Fitchburg,00970000,MATH,         596,25,          52,2,         544,22,"       1,092",45,         741,31,"       2,429",99,     484,          51,"       1,797"
Fitchburg,00970000,SCI,         183,24,          18,2,         165,21,         361,47,         226,29,         770,98,     484,,
Florida,00980000,ELA,          12,24,           1,2,          11,22,          31,61,           8,16,          51,100,     489,          44,          42
Florida,00980000,MATH,          12,24,           0,0,          12,24,          30,59,           9,18,          51,100,     486,          52,          42
Florida,00980000,SCI,           3,25,           1,8,           2,17,           6,50,           3,25,          12,92,     488,,
Four Rivers Charter Public (District),04130000,ELA,          38,56,           5,7,          33,49,          24,35,           6,9,          68,89,     502,          49,          58
Four Rivers Charter Public (District),04130000,MATH,          31,44,           3,4,          28,40,          32,46,           7,10,          70,92,     496,          58,          58
Four Rivers Charter Public (District),04130000,SCI,          19,53,           3,8,          16,44,          16,44,           1,3,          36,95,     502,,
Foxborough,00990000,ELA,         550,50,          93,9,         457,42,         431,40,         110,10,"       1,091",99,     499,          47,         857
Foxborough,00990000,MATH,         620,57,         108,10,         512,47,         383,35,          90,8,"       1,093",99,     503,          48,         858
Foxborough,00990000,SCI,         144,40,          14,4,         130,36,         156,44,          57,16,         357,98,     493,,
Foxborough Regional Charter (District),04460000,ELA,         220,30,          18,2,         202,27,         352,48,         165,22,         737,99,     488,          43,         561
Foxborough Regional Charter (District),04460000,MATH,         191,26,          18,2,         173,24,         388,53,         157,21,         736,99,     487,          48,         560
Foxborough Regional Charter (District),04460000,SCI,          68,30,          10,4,          58,26,         103,45,          56,25,         227,100,     487,,
Framingham,01000000,ELA,"       1,077",27,         165,4,         912,23,"       1,414",35,"       1,493",37,"       3,984",99,     482,          48,"       2,816"
Framingham,01000000,MATH,         899,22,         119,3,         780,20,"       1,681",42,"       1,416",35,"       3,996",99,     482,          47,"       2,836"
Framingham,01000000,SCI,         387,29,          52,4,         335,25,         499,38,         436,33,"       1,322",99,     484,,
Francis W. Parker Charter Essential (District),04780000,ELA,          75,56,          15,11,          60,45,          49,37,           9,7,         133,94,     502,          40,          96
Francis W. Parker Charter Essential (District),04780000,MATH,          66,49,           3,2,          63,47,          57,43,          11,8,         134,94,     497,          37,          98
Francis W. Parker Charter Essential (District),04780000,SCI,          38,61,           3,5,          35,56,          16,26,           8,13,          62,90,     500,,
Franklin,01010000,ELA,"       1,104",53,         209,10,         895,43,         727,35,         242,12,"       2,073",99,     500,          49,"       1,665"
Franklin,01010000,MATH,"       1,178",57,         241,12,         937,45,         712,34,         178,9,"       2,068",99,     504,          52,"       1,661"
Franklin,01010000,SCI,         377,54,          67,10,         310,44,         258,37,          63,9,         698,99,     502,,
Freetown-Lakeville,06650000,ELA,         617,46,          77,6,         540,40,         576,43,         162,12,"       1,355",99,     497,          50,"       1,069"
Freetown-Lakeville,06650000,MATH,         670,49,          82,6,         588,43,         563,42,         123,9,"       1,356",99,     499,          47,"       1,064"
Freetown-Lakeville,06650000,SCI,         229,52,          38,9,         191,44,         170,39,          40,9,         439,99,     502,,
Frontier,06700000,ELA,          66,30,           4,2,          62,29,         100,46,          51,24,         217,100,     488,          38,         205
Frontier,06700000,MATH,          78,36,           8,4,          70,32,         111,51,          29,13,         218,100,     494,          51,         204
Frontier,06700000,SCI,          41,39,           3,3,          38,36,          46,44,          18,17,         105,98,     493,,
Gardner,01030000,ELA,         238,24,          20,2,         218,22,         432,43,         338,34,"       1,008",99,     482,          45,         766
Gardner,01030000,MATH,         234,23,          20,2,         214,21,         456,45,         318,32,"       1,008",99,     483,          47,         769
Gardner,01030000,SCI,          89,25,           7,2,          82,23,         161,45,         111,31,         361,98,     483,,
Gateway,06720000,ELA,         116,31,          18,5,          98,26,         184,49,          79,21,         379,99,     490,          41,         295
Gateway,06720000,MATH,         109,29,          13,3,          96,25,         206,54,          65,17,         380,99,     490,          39,         294
Gateway,06720000,SCI,          48,33,           3,2,          45,31,          77,53,          21,14,         146,99,     492,,
Georgetown,01050000,ELA,         271,46,          35,6,         236,40,         249,42,          75,13,         595,99,     497,          44,         468
Georgetown,01050000,MATH,         275,46,          30,5,         245,41,         266,44,          58,10,         599,100,     498,          51,         472
Georgetown,01050000,SCI,          81,41,          12,6,          69,35,          99,50,          20,10,         200,100,     497,,
Gill-Montague,06740000,ELA,         111,26,           7,2,         104,24,         199,46,         125,29,         435,99,     483,          45,         339
Gill-Montague,06740000,MATH,         101,23,           4,1,          97,22,         225,52,         109,25,         435,99,     485,          52,         337
Gill-Montague,06740000,SCI,          33,24,           5,4,          28,21,          62,46,          41,30,         136,99,     485,,
Global Learning Charter Public (District),04960000,ELA,         106,32,           7,2,          99,29,         165,49,          65,19,         336,99,     488,          48,         317
Global Learning Charter Public (District),04960000,MATH,          67,20,           2,1,          65,19,         206,62,          61,18,         334,99,     485,          43,         315
Global Learning Charter Public (District),04960000,SCI,          46,28,           2,1,          44,27,          79,48,          40,24,         165,98,     486,,
Gloucester,01070000,ELA,         480,38,          57,5,         423,34,         548,44,         229,18,"       1,257",99,     492,          48,         973
Gloucester,01070000,MATH,         425,34,          51,4,         374,30,         609,48,         229,18,"       1,263",99,     491,          47,         975
Gloucester,01070000,SCI,         148,36,          23,6,         125,30,         188,45,          79,19,         415,98,     491,,
Grafton,01100000,ELA,         777,54,         117,8,         660,46,         504,35,         160,11,"       1,441",99,     500,          50,"       1,133"
Grafton,01100000,MATH,         769,53,         164,11,         605,42,         518,36,         152,11,"       1,439",99,     502,          54,"       1,131"
Grafton,01100000,SCI,         288,55,          47,9,         241,46,         170,32,          67,13,         525,99,     500,,
Granby,01110000,ELA,         105,32,          11,3,          94,29,         149,45,          74,23,         328,99,     489,          53,         256
Granby,01110000,MATH,          86,26,           9,3,          77,23,         174,53,          68,21,         328,99,     487,          53,         257
Granby,01110000,SCI,          34,32,           2,2,          32,30,          55,51,          18,17,         107,99,     490,,
Greater Commonwealth Virtual District,39010000,ELA,         102,29,           7,2,          95,27,         169,48,          84,24,         355,75,     486,          42,         188
Greater Commonwealth Virtual District,39010000,MATH,          46,13,           3,1,          43,12,         186,52,         125,35,         357,76,     479,          37,         187
Greater Commonwealth Virtual District,39010000,SCI,          42,29,           6,4,          36,24,          73,50,          32,22,         147,79,     489,,
Greenfield,01140000,ELA,         116,18,           5,1,         111,17,         316,50,         204,32,         636,98,     480,          44,         447
Greenfield,01140000,MATH,         109,17,          10,2,          99,16,         311,49,         213,34,         633,97,     480,          50,         445
Greenfield,01140000,SCI,          34,18,           0,0,          34,18,          93,48,          66,34,         193,95,     481,,
Groton-Dunstable,06730000,ELA,         659,61,         139,13,         520,48,         350,33,          66,6,"       1,075",99,     506,          50,         862
Groton-Dunstable,06730000,MATH,         644,60,         116,11,         528,49,         372,35,          60,6,"       1,076",99,     505,          45,         866
Groton-Dunstable,06730000,SCI,         222,59,          52,14,         170,45,         128,34,          25,7,         375,99,     506,,
Hadley,01170000,ELA,         102,51,          12,6,          90,45,          72,36,          26,13,         200,100,     498,          53,         163
Hadley,01170000,MATH,          75,38,           9,5,          66,33,          97,49,          28,14,         200,100,     495,          46,         163
Hadley,01170000,SCI,          32,52,           3,5,          29,48,          18,30,          11,18,          61,98,     497,,
Halifax,01180000,ELA,         189,54,          24,7,         165,47,         125,36,          37,11,         351,99,     500,          47,         280
Halifax,01180000,MATH,         172,49,          15,4,         157,44,         156,44,          25,7,         353,100,     499,          48,         282
Halifax,01180000,SCI,          43,48,           2,2,          41,46,          37,41,          10,11,          90,97,     497,,
Hamilton-Wenham,06750000,ELA,         498,64,         127,16,         371,48,         233,30,          48,6,         779,99,     508,          54,         609
Hamilton-Wenham,06750000,MATH,         444,57,          60,8,         384,49,         281,36,          57,7,         782,100,     503,          52,         611
Hamilton-Wenham,06750000,SCI,         180,64,          21,8,         159,57,          81,29,          19,7,         280,100,     504,,
Hampden Charter School of Science (District),04990000,ELA,         107,42,          15,6,          92,36,          98,39,          49,19,         254,99,     492,          47,         237
Hampden Charter School of Science (District),04990000,MATH,          80,32,           6,2,          74,29,         120,47,          53,21,         253,99,     489,          43,         235
Hampden Charter School of Science (District),04990000,SCI,          27,34,           7,9,          20,25,          32,40,          21,26,          80,98,     489,,
Hampden Charter School of Science West (District),35160000,ELA,          91,52,          22,13,          69,40,          58,33,          25,14,         174,100,     500,          55,         150
Hampden Charter School of Science West (District),35160000,MATH,          65,38,          12,7,          53,31,          71,42,          35,20,         171,98,     493,          58,         150
Hampden Charter School of Science West (District),35160000,SCI,          24,41,           8,14,          16,28,          18,31,          16,28,          58,100,     496,,
Hampden-Wilbraham,06800000,ELA,         605,49,          90,7,         515,42,         501,40,         133,11,"       1,239",99,     499,          49,         979
Hampden-Wilbraham,06800000,MATH,         538,43,          69,6,         469,38,         562,45,         141,11,"       1,241",99,     497,          50,         980
Hampden-Wilbraham,06800000,SCI,         197,48,          20,5,         177,43,         173,42,          40,10,         410,99,     498,,
Hampshire,06830000,ELA,         100,40,           7,3,          93,37,         120,48,          31,12,         251,99,     494,          45,         234
Hampshire,06830000,MATH,          91,37,           7,3,          84,34,         134,54,          24,10,         249,98,     495,          47,         230
Hampshire,06830000,SCI,          53,44,           5,4,          48,40,          57,48,          10,8,         120,99,     498,,
Hancock,01210000,ELA,          14,47,           1,3,          13,43,          13,43,           3,10,          30,100,     494,,          16
Hancock,01210000,MATH,           4,13,           1,3,           3,10,          21,70,           5,17,          30,100,     485,,          16
Hanover,01220000,ELA,         725,58,         137,11,         588,47,         412,33,         105,8,"       1,242",99,     503,          54,         988
Hanover,01220000,MATH,         720,58,         122,10,         598,48,         442,36,          81,7,"       1,243",99,     504,          54,         990
Hanover,01220000,SCI,         215,54,          33,8,         182,46,         149,38,          32,8,         396,99,     502,,
Harvard,01250000,ELA,         349,74,          68,14,         281,60,          96,20,          25,5,         470,99,     510,          54,         370
Harvard,01250000,MATH,         334,72,          70,15,         264,57,         106,23,          25,5,         465,98,     510,          54,         368
Harvard,01250000,SCI,         123,80,          45,29,          78,51,          27,18,           4,3,         154,97,     516,,
Hatfield,01270000,ELA,          78,46,           5,3,          73,43,          67,40,          23,14,         168,99,     495,          40,         133
Hatfield,01270000,MATH,          55,32,           3,2,          52,31,          83,49,          32,19,         170,100,     491,          51,         132
Hatfield,01270000,SCI,          24,44,           1,2,          23,42,          23,42,           8,15,          55,100,     494,,
Haverhill,01280000,ELA,"       1,066",28,         110,3,         956,25,"       1,726",45,"       1,008",27,"       3,800",99,     486,          50,"       2,959"
Haverhill,01280000,MATH,         957,25,         110,3,         847,22,"       1,838",48,         998,26,"       3,793",99,     486,          50,"       2,955"
Haverhill,01280000,SCI,         407,30,          37,3,         370,28,         583,43,         351,26,"       1,341",99,     487,,
Hawlemont,06850000,ELA,          16,35,           0,0,          16,35,          21,46,           9,20,          46,98,     487,          51,          33
Hawlemont,06850000,MATH,           4,9,           0,0,           4,9,          31,67,          11,24,          46,98,     480,          47,          33
Helen Y. Davis Leadership Academy Charter Public (District),04190000,ELA,          24,24,           4,4,          20,20,          49,49,          27,27,         100,96,     484,          45,          78
Helen Y. Davis Leadership Academy Charter Public (District),04190000,MATH,          20,20,           2,2,          18,18,          52,52,          28,28,         100,96,     484,          63,          79
Helen Y. Davis Leadership Academy Charter Public (District),04190000,SCI,          15,38,           0,0,          15,38,          20,50,           5,13,          40,95,     491,,
Hill View Montessori Charter Public (District),04550000,ELA,          60,30,           1,1,          59,30,         104,52,          36,18,         200,99,     487,          49,         159
Hill View Montessori Charter Public (District),04550000,MATH,          24,12,           3,2,          21,11,         117,59,          56,28,         197,98,     481,          59,         156
Hill View Montessori Charter Public (District),04550000,SCI,          18,29,           1,2,          17,27,          40,63,           5,8,          63,97,     491,,
Hilltown Cooperative Charter Public (District),04500000,ELA,          86,56,          10,7,          76,50,          57,37,          10,7,         153,97,     501,          47,         121
Hilltown Cooperative Charter Public (District),04500000,MATH,          83,54,           6,4,          77,50,          61,40,           9,6,         153,97,     500,          53,         122
Hilltown Cooperative Charter Public (District),04500000,SCI,          33,66,           6,12,          27,54,          15,30,           2,4,          50,98,     508,,
Hingham,01310000,ELA,"       1,273",74,         377,22,         896,52,         378,22,          60,4,"       1,711",99,     513,          55,"       1,366"
Hingham,01310000,MATH,"       1,218",71,         277,16,         941,55,         445,26,          49,3,"       1,712",99,     511,          52,"       1,363"
Hingham,01310000,SCI,         388,71,         115,21,         273,50,         141,26,          18,3,         547,99,     512,,
Holbrook,01330000,ELA,         250,38,          35,5,         215,32,         293,44,         121,18,         664,99,     493,          50,         516
Holbrook,01330000,MATH,         248,37,          26,4,         222,33,         290,44,         128,19,         666,100,     492,          53,         519
Holbrook,01330000,SCI,          82,41,          24,12,          58,29,          93,47,          25,13,         200,100,     496,,
Holland,01350000,ELA,          48,44,           8,7,          40,36,          50,45,          12,11,         110,100,     497,          55,          89
Holland,01350000,MATH,          58,53,           7,6,          51,46,          39,35,          13,12,         110,100,     499,          61,          89
Holland,01350000,SCI,          19,61,           6,19,          13,42,           7,23,           5,16,          31,100,     500,,
Holliston,01360000,ELA,         770,61,         170,14,         600,48,         391,31,          95,8,"       1,256",99,     505,          57,         993
Holliston,01360000,MATH,         775,62,         179,14,         596,47,         386,31,          99,8,"       1,260",99,     506,          58,         995
Holliston,01360000,SCI,         271,62,          61,14,         210,48,         126,29,          41,9,         438,99,     505,,
Holyoke,01370000,ELA,         198,9,           6,0,         192,9,         800,38,"       1,103",52,"       2,101",98,     471,          41,"       1,542"
Holyoke,01370000,MATH,         130,6,           3,0,         127,6,         768,36,"       1,210",57,"       2,108",99,     469,          41,"       1,534"
Holyoke,01370000,SCI,          50,7,           1,0,          49,7,         256,38,         373,55,         679,98,     470,,
Holyoke Community Charter (District),04530000,ELA,          85,18,           9,2,          76,16,         255,54,         131,28,         471,99,     482,          42,         351
Holyoke Community Charter (District),04530000,MATH,          60,13,           1,0,          59,13,         285,61,         125,27,         470,99,     481,          46,         351
Holyoke Community Charter (District),04530000,SCI,          28,20,           0,0,          28,20,          81,57,          32,23,         141,99,     484,,
Hoosac Valley Regional,06030000,ELA,         116,25,           7,1,         109,23,         217,46,         140,30,         473,100,     484,          45,         361
Hoosac Valley Regional,06030000,MATH,          83,17,           3,1,          80,17,         237,50,         155,33,         475,100,     480,          45,         360
Hoosac Valley Regional,06030000,SCI,          34,19,           4,2,          30,17,          84,48,          58,33,         176,98,     481,,
Hopedale,01380000,ELA,         213,44,          17,3,         196,40,         220,45,          53,11,         486,99,     496,          51,         382
Hopedale,01380000,MATH,         231,48,          31,6,         200,41,         209,43,          43,9,         483,99,     499,          54,         388
Hopedale,01380000,SCI,          82,48,          13,8,          69,40,          76,44,          14,8,         172,99,     499,,
Hopkinton,01390000,ELA,"       1,439",75,         383,20,"       1,056",55,         394,20,          98,5,"       1,931",100,     512,          52,"       1,533"
Hopkinton,01390000,MATH,"       1,511",78,         533,28,         978,51,         347,18,          75,4,"       1,933",100,     516,          59,"       1,533"
Hopkinton,01390000,SCI,         440,71,         113,18,         327,53,         146,24,          30,5,         616,100,     511,,
Hudson,01410000,ELA,         404,36,          52,5,         352,31,         509,45,         206,18,"       1,119",99,     491,          48,         865
Hudson,01410000,MATH,         338,30,          24,2,         314,28,         564,51,         214,19,"       1,116",99,     489,          46,         860
Hudson,01410000,SCI,         118,32,           8,2,         110,29,         182,49,          74,20,         374,98,     489,,
Hull,01420000,ELA,         153,47,          30,9,         123,38,         140,43,          33,10,         326,97,     499,          54,         256
Hull,01420000,MATH,         145,44,          20,6,         125,38,         147,45,          34,10,         326,98,     497,          36,         256
Hull,01420000,SCI,          46,41,          17,15,          29,26,          51,46,          14,13,         111,97,     498,,
Innovation Academy Charter (District),04350000,ELA,         169,43,          26,7,         143,37,         165,42,          56,14,         390,98,     495,          48,         359
Innovation Academy Charter (District),04350000,MATH,         135,35,          10,3,         125,32,         204,52,          52,13,         391,98,     493,          39,         365
Innovation Academy Charter (District),04350000,SCI,          71,36,           6,3,          65,33,          93,47,          32,16,         196,98,     493,,
Ipswich,01440000,ELA,         415,58,          83,12,         332,46,         249,35,          54,8,         718,99,     504,          51,         576
Ipswich,01440000,MATH,         372,52,          55,8,         317,44,         298,42,          46,6,         716,99,     502,          54,         575
Ipswich,01440000,SCI,         139,53,          27,10,         112,43,          97,37,          24,9,         260,100,     502,,
KIPP Academy Boston Charter School (District),04630000,ELA,          60,16,           5,1,          55,15,         186,51,         121,33,         367,99,     480,          48,         277
KIPP Academy Boston Charter School (District),04630000,MATH,          72,20,           6,2,          66,18,         193,53,         102,28,         367,99,     482,          57,         278
KIPP Academy Boston Charter School (District),04630000,SCI,          21,19,           2,2,          19,17,          58,51,          34,30,         113,99,     482,,
KIPP Academy Lynn Charter (District),04290000,ELA,         201,27,           9,1,         192,26,         402,54,         139,19,         742,99,     488,          45,         614
KIPP Academy Lynn Charter (District),04290000,MATH,         287,39,          26,3,         261,35,         372,50,          84,11,         743,100,     494,          58,         612
KIPP Academy Lynn Charter (District),04290000,SCI,          58,23,           5,2,          53,21,         135,55,          54,22,         247,99,     486,,
King Philip,06900000,ELA,         320,48,          47,7,         273,41,         265,40,          79,12,         664,98,     498,          45,         636
King Philip,06900000,MATH,         335,50,          34,5,         301,45,         261,39,          69,10,         665,98,     499,          38,         635
King Philip,06900000,SCI,         151,47,          17,5,         134,42,         140,44,          29,9,         320,97,     497,,
Kingston,01450000,ELA,         271,45,          43,7,         228,38,         248,41,          80,13,         599,99,     497,          53,         406
Kingston,01450000,MATH,         286,48,          37,6,         249,42,         238,40,          74,12,         598,99,     498,          45,         410
Kingston,01450000,SCI,          84,59,          12,8,          72,51,          48,34,          10,7,         142,99,     502,,
Lawrence,01490000,ELA,"       1,070",18,         103,2,         967,17,"       2,374",41,"       2,400",41,"       5,844",99,     478,          50,"       4,398"
Lawrence,01490000,MATH,"       1,012",17,          75,1,         937,16,"       2,596",44,"       2,249",38,"       5,857",100,     479,          50,"       4,410"
Lawrence,01490000,SCI,         329,16,          18,1,         311,16,         860,43,         811,41,"       2,000",99,     477,,
Lawrence Family Development Charter (District),04540000,ELA,         149,32,          12,3,         137,30,         225,49,          85,19,         459,100,     490,          44,         373
Lawrence Family Development Charter (District),04540000,MATH,          94,21,           7,2,          87,19,         274,60,          89,19,         457,100,     486,          42,         372
Lawrence Family Development Charter (District),04540000,SCI,          21,14,           1,1,          20,14,          94,64,          31,21,         146,100,     483,,
Learning First Charter Public School (District),04860000,ELA,          87,20,           7,2,          80,18,         221,51,         127,29,         435,100,     482,          47,         344
Learning First Charter Public School (District),04860000,MATH,          51,12,           7,2,          44,10,         220,52,         154,36,         425,98,     478,          51,         340
Learning First Charter Public School (District),04860000,SCI,          36,27,           4,3,          32,24,          72,54,          26,19,         134,99,     489,,
Lee,01500000,ELA,         107,35,          11,4,          96,31,         146,47,          57,18,         310,100,     491,          46,         241
Lee,01500000,MATH,         104,34,          13,4,          91,29,         175,56,          31,10,         310,100,     493,          56,         242
