2023 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Atlantis Charter (District),04910000,SCI,          58,26,           1,0,          57,26,         115,52,          47,21,         220,100,     485,,
Attleboro,00160000,ELA,         956,36,         103,4,         853,33,"       1,201",46,         466,18,"       2,623",99,     492,          46,"       2,045"
Attleboro,00160000,MATH,"       1,023",39,         117,4,         906,35,"       1,156",44,         438,17,"       2,617",99,     494,          50,"       2,040"
Attleboro,00160000,SCI,         323,37,          35,4,         288,33,         392,44,         168,19,         883,99,     492,,
Auburn,00170000,ELA,         570,47,          75,6,         495,41,         461,38,         170,14,"       1,201",100,     497,          49,         967
Auburn,00170000,MATH,         569,47,          86,7,         483,40,         512,43,         119,10,"       1,200",100,     499,          53,         965
Auburn,00170000,SCI,         198,52,          39,10,         159,41,         148,39,          38,10,         384,99,     501,,
Avon,00180000,ELA,         117,34,          17,5,         100,29,         142,41,          84,24,         343,99,     489,          49,         281
Avon,00180000,MATH,         108,32,          13,4,          95,28,         156,46,          77,23,         341,99,     489,          48,         279
Avon,00180000,SCI,          33,29,           5,4,          28,24,          52,45,          30,26,         115,98,     487,,
Ayer Shirley School District,06160000,ELA,         354,46,          57,7,         297,39,         309,40,         103,13,         766,99,     497,          54,         590
Ayer Shirley School District,06160000,MATH,         314,41,          28,4,         286,37,         350,46,         103,13,         767,100,     494,          47,         591
Ayer Shirley School District,06160000,SCI,         124,48,          18,7,         106,41,         112,43,          25,10,         261,100,     498,,
Barnstable,00200000,ELA,         660,33,          64,3,         596,29,         857,42,         505,25,"       2,022",99,     488,          48,"       1,440"
Barnstable,00200000,MATH,         581,29,          68,3,         513,25,         963,48,         474,23,"       2,018",98,     488,          46,"       1,440"
Barnstable,00200000,SCI,         214,31,          15,2,         199,29,         301,44,         172,25,         687,97,     488,,
Baystate Academy Charter Public School (District),35020000,ELA,          24,14,           1,1,          23,13,          74,43,          75,43,         173,96,     474,          43,         156
Baystate Academy Charter Public School (District),35020000,MATH,          13,8,           0,0,          13,8,          86,50,          72,42,         171,95,     473,          39,         159
Baystate Academy Charter Public School (District),35020000,SCI,           5,8,           0,0,           5,8,          29,47,          28,45,          62,94,     475,,
Bedford,00230000,ELA,         816,70,         267,23,         549,47,         276,24,          79,7,"       1,171",99,     511,          57,         950
Bedford,00230000,MATH,         794,67,         245,21,         549,47,         312,27,          71,6,"       1,177",99,     511,          51,         952
Bedford,00230000,SCI,         266,63,          67,16,         199,47,         129,31,          27,6,         422,99,     508,,
Belchertown,00240000,ELA,         425,44,          51,5,         374,39,         411,43,         121,13,         957,98,     496,          50,         763
Belchertown,00240000,MATH,         349,36,          23,2,         326,34,         487,50,         130,13,         966,98,     493,          48,         770
Belchertown,00240000,SCI,         140,42,          18,5,         122,37,         160,48,          32,10,         332,97,     496,,
Bellingham,00250000,ELA,         291,32,          21,2,         270,30,         434,48,         173,19,         898,99,     489,          45,         710
Bellingham,00250000,MATH,         289,32,          31,3,         258,29,         448,50,         160,18,         897,99,     491,          44,         705
Bellingham,00250000,SCI,         110,36,          12,4,          98,32,         138,46,          54,18,         302,99,     492,,
Belmont,00260000,ELA,"       1,489",71,         349,17,"       1,140",54,         484,23,         123,6,"       2,096",99,     509,          50,"       1,593"
Belmont,00260000,MATH,"       1,593",76,         610,29,         983,47,         408,19,          94,4,"       2,095",99,     516,          56,"       1,587"
Belmont,00260000,SCI,         554,76,         220,30,         334,46,         142,20,          32,4,         728,99,     517,,
Benjamin Banneker Charter Public (District),04200000,ELA,         136,80,          27,16,         109,64,          31,18,           4,2,         171,99,     512,          55,         127
Benjamin Banneker Charter Public (District),04200000,MATH,         133,78,          43,25,          90,53,          35,20,           3,2,         171,100,     515,          54,         127
Benjamin Banneker Charter Public (District),04200000,SCI,          30,67,           5,11,          25,56,          14,31,           1,2,          45,100,     506,,
Benjamin Franklin Classical Charter Public (District),04470000,ELA,         354,62,          53,9,         301,53,         186,32,          33,6,         573,100,     504,          53,         467
Benjamin Franklin Classical Charter Public (District),04470000,MATH,         331,58,          73,13,         258,45,         205,36,          36,6,         572,99,     504,          49,         464
Benjamin Franklin Classical Charter Public (District),04470000,SCI,         103,56,          36,19,          67,36,          70,38,          12,6,         185,99,     506,,
Berkley,00270000,ELA,         264,48,          40,7,         224,40,         213,38,          78,14,         555,100,     497,          46,         446
Berkley,00270000,MATH,         237,43,          19,3,         218,39,         261,47,          56,10,         554,100,     496,          47,         445
Berkley,00270000,SCI,         100,56,          23,13,          77,43,          65,37,          13,7,         178,100,     503,,
Berkshire Arts and Technology Charter Public (District),04140000,ELA,          82,41,          16,8,          66,33,          78,39,          41,20,         201,98,     493,          45,         145
Berkshire Arts and Technology Charter Public (District),04140000,MATH,          62,31,           9,5,          53,27,          99,50,          38,19,         199,98,     489,          49,         143
Berkshire Arts and Technology Charter Public (District),04140000,SCI,          27,42,           3,5,          24,37,          31,48,           7,11,          65,100,     494,,
Berkshire Hills,06180000,ELA,         202,44,          30,6,         172,37,         186,40,          76,16,         464,99,     496,          48,         357
Berkshire Hills,06180000,MATH,         170,37,          15,3,         155,33,         217,47,          76,16,         463,99,     493,          46,         355
Berkshire Hills,06180000,SCI,          59,39,           5,3,          54,36,          62,41,          30,20,         151,99,     493,,
Berlin-Boylston,06200000,ELA,         309,64,          72,15,         237,49,         143,29,          33,7,         485,99,     507,          58,         380
Berlin-Boylston,06200000,MATH,         292,60,          49,10,         243,50,         165,34,          29,6,         486,100,     505,          54,         380
Berlin-Boylston,06200000,SCI,         114,68,          25,15,          89,53,          43,26,          11,7,         168,99,     508,,
