2024-25 Enrollment by Selected Population (District) ,,,,,,,,,,,,,
District Name,District Code,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Low Income#,Low Income%,Students with Disabilities#,Students with Disabilities%,Students with Disabilities#,Students with Disabilities%
Bridgewater-Raynham,06250000,"   2,387",  41.7,     284,   5.0,     532,   9.4,"   1,580",  27.8, , ,"   1,154",  20.2
Brimfield,00430000,      86,  33.2,       4,   1.6,       6,   2.3,      66,  25.6, , ,      29,  11.2
Bristol County Agricultural,09100000,     250,  39.6,       2,   0.3,       2,   0.3,     176,  27.9, , ,     104,  16.5
Bristol-Plymouth Regional Vocational Technical,08100000,     495,  37.1,      11,   0.8,      25,   1.9,     360,  27.0, , ,     206,  15.4
Brockton,00440000,"  12,963",  84.3,"   5,317",  34.8,"   8,060",  52.7,"  11,305",  74.0, , ,"   3,035",  19.7
Brooke Charter School (District),04280000,"   1,596",  72.0,     236,  10.6,     751,  33.9,"   1,356",  61.2, , ,     366,  16.5
Brookfield,00450000,     112,  38.6,       3,   1.0,       6,   2.1,      82,  28.4, , ,      43,  14.8
Brookline,00460000,"   2,917",  41.1,     803,  11.4,"   2,155",  30.7,"   1,023",  14.6, , ,"   1,320",  18.6
Burlington,00480000,"   1,334",  37.2,     294,   8.4,     941,  26.8,     709,  20.2, , ,     568,  15.8
Cambridge,00490000,"   3,799",  53.2,     895,  12.7,"   2,627",  37.4,"   2,561",  36.4, , ,"   1,596",  22.4
Canton,00500000,"   1,241",  36.8,     160,   4.8,     348,  10.5,     737,  22.2, , ,     594,  17.6
Cape Cod Lighthouse Charter (District),04320000,      91,  36.3,       2,   0.8,      14,   5.6,      65,  25.9, , ,      40,  15.9
Cape Cod Regional Vocational Technical,08150000,     331,  48.5,      21,   3.1,      52,   7.6,     241,  35.3, , ,     134,  19.6
Carlisle,00510000,     118,  19.1,       8,   1.3,      26,   4.2,      30,   4.9, , ,      86,  13.9
Carver,00520000,     649,  43.4,      29,   2.0,      55,   3.7,     429,  29.1, , ,     326,  21.8
Central Berkshire,06350000,     762,  49.2,      17,   1.1,      26,   1.7,     605,  39.4, , ,     303,  19.6
Chelmsford,00560000,"   1,888",  36.8,     293,   5.8,"   1,495",  29.5,     861,  17.0, , ,"   1,032",  20.1
Chelsea,00570000,"   5,647",  90.2,"   2,876",  47.2,"   5,213",  85.5,"   4,807",  78.9, , ,"   1,329",  21.2
Chesterfield-Goshen,06320000,      51,  40.5,       0,   0.0,       0,   0.0,      38,  30.2, , ,      20,  15.9
Chicopee,00610000,"   4,909",  72.2,     588,   8.7,"   1,044",  15.5,"   4,401",  65.2, , ,"   1,484",  21.8
Christa McAuliffe Charter School (District),04180000,     197,  69.4,      38,  13.4,      98,  34.5,     136,  47.9, , ,      72,  25.4
City on a Hill Charter Public School (District),04370000,      71,  91.0,      14,  17.9,      17,  21.8,      63,  80.8, , ,      15,  19.2
Clarksburg,00630000,      97,  47.3,       0,   0.0,       0,   0.0,      76,  37.3, , ,      33,  16.1
Clinton,00640000,"   1,333",  65.0,     372,  18.4,     732,  36.1,"   1,040",  51.4, , ,     452,  22.0
Codman Academy Charter Public (District),04380000,     296,  86.0,      40,  11.6,      74,  21.5,     277,  80.5, , ,      60,  17.4
Cohasset,00650000,     304,  21.5,       2,   0.1,      11,   0.8,      85,   6.1, , ,     249,  17.6
Collegiate Charter School of Lowell (District),35030000,     942,  77.7,     349,  28.8,     611,  50.4,     763,  63.0, , ,     119,   9.8
Community Charter School of Cambridge (District),04360000,     185,  73.7,      27,  10.8,      77,  30.7,     141,  56.2, , ,      55,  21.9
Community Day Charter Public School (District),04400000,     998,  83.2,     338,  28.2,     593,  49.4,     882,  73.5, , ,     196,  16.3
